title,type,tags
Curso de Preparación Física Integral en Running y Trail Running,Curso,"[{""locale"":""es"",""name"":""Resistencia"",""principal"":true,""slug"":""entrenamiento-de-la-resistencia"",""uid"":""ts-Q57cfb2655182e""},{""locale"":""es"",""name"":""Atletismo"",""principal"":false,""slug"":""entrenamiento-en-atletismo"",""uid"":""ts-B57cfb265546db""},{""locale"":""en"",""name"":""Endurance Training"",""principal"":true,""slug"":""endurance-training"",""uid"":""ts-Q57cfb2655182e""},{""locale"":""en"",""name"":""Athletics Training"",""principal"":false,""slug"":""athletics-training"",""uid"":""ts-B57cfb265546db""}]"
Webinar de Metodología para el Acondicionamiento de Velocidad y Agilidad,Webinar,"[{""locale"":""es"",""name"":""Velocidad y Agilidad"",""principal"":true,""slug"":""entrenamiento-de-la-velocidad-y-agilidad"",""uid"":""ts-q57cfb26551c42""},{""locale"":""en"",""name"":""Speed \u0026 Agility Training"",""principal"":true,""slug"":""speed-agility-training"",""uid"":""ts-q57cfb26551c42""}]"
Webinar de la Preparación Mental del Entrenador Deportivo,Webinar,"[{""locale"":""es"",""name"":""Psicología"",""principal"":true,""slug"":""psicologia-del-deporte"",""uid"":""ts-T57cfb265575ff""},{""locale"":""en"",""name"":""Sport Psychology"",""principal"":true,""slug"":""sport-psychology"",""uid"":""ts-T57cfb265575ff""}]"
Webinar de Prevención de Lesiones en Fútbol,Webinar,"[{""locale"":""es"",""name"":""Fútbol"",""principal"":false,""slug"":""entrenamiento-en-futbol"",""uid"":""ts-457cfb265524e2""},{""locale"":""es"",""name"":""Prev. y Rehabilitación de Lesiones"",""principal"":true,""slug"":""prevencion-y-rehabilitacion-de-lesiones"",""uid"":""ts-j57cfb26557fdb""},{""locale"":""en"",""name"":""Soccer Training"",""principal"":false,""slug"":""soccer-training"",""uid"":""ts-457cfb265524e2""},{""locale"":""en"",""name"":""Injury Prevention and Rehabilitation"",""principal"":true,""slug"":""injury-prevention-and-rehabilitation"",""uid"":""ts-j57cfb26557fdb""}]"
Webinar de Rehabilitación Cardíaca en el Siglo XXI,Webinar,"[{""locale"":""es"",""name"":""Prev. y Rehabilitación Cardiovascular"",""principal"":true,""slug"":""prevencion-y-rehabilitacion-cardiovascular"",""uid"":""ts-157cfb265581a2""},{""locale"":""en"",""name"":""Cardiovascular Prevention and Rehabilitation"",""principal"":true,""slug"":""cardiovascular-prevention-and-rehabilitation"",""uid"":""ts-157cfb265581a2""}]"
Webinar de Estrategias Nutricionales Saludables para la Optimización de la Hipertrofia Muscular,Webinar,"[{""locale"":""es"",""name"":""Fuerza y Potencia"",""principal"":false,""slug"":""entrenamiento-de-la-fuerza-y-potencia"",""uid"":""ts-R57cfb26551630""},{""locale"":""es"",""name"":""Nutrición"",""principal"":false,""slug"":""nutricion-deportiva"",""uid"":""ts-t57cfb26556fbf""},{""locale"":""es"",""name"":""Salud y Fitness"",""principal"":true,""slug"":""salud-y-fitness"",""uid"":""ts-c57cfb26557cef""},{""locale"":""en"",""name"":""Strength \u0026 Power Training"",""principal"":false,""slug"":""power-strength-training"",""uid"":""ts-R57cfb26551630""},{""locale"":""en"",""name"":""Sport Nutrition"",""principal"":false,""slug"":""sport-nutrition"",""uid"":""ts-t57cfb26556fbf""},{""locale"":""en"",""name"":""Health \u0026 Fitness"",""principal"":true,""slug"":""health-fitness"",""uid"":""ts-c57cfb26557cef""}]"
Taller de Introducción al Entrenamiento en los Deportes de Resistencia,Taller,"[{""locale"":""es"",""name"":""Resistencia"",""principal"":true,""slug"":""entrenamiento-de-la-resistencia"",""uid"":""ts-Q57cfb2655182e""},{""locale"":""en"",""name"":""Endurance Training"",""principal"":true,""slug"":""endurance-training"",""uid"":""ts-Q57cfb2655182e""}]"
Webinar de Mitos y Realidades de la Aplicación de Nuevos Dispositivos de Entrenamiento en el Ámbito del Fitness,Webinar,"[{""locale"":""es"",""name"":""Salud y Fitness"",""principal"":true,""slug"":""salud-y-fitness"",""uid"":""ts-c57cfb26557cef""},{""locale"":""en"",""name"":""Health \u0026 Fitness"",""principal"":true,""slug"":""health-fitness"",""uid"":""ts-c57cfb26557cef""}]"
Webinar de Evidencias Actuales sobre el Entrenamiento del Core,Webinar,"[{""locale"":""es"",""name"":""Salud y Fitness"",""principal"":true,""slug"":""salud-y-fitness"",""uid"":""ts-c57cfb26557cef""},{""locale"":""es"",""name"":""Adultos Mayores"",""principal"":false,""slug"":""actividad-fisica-y-entrenamiento-en-adultos-mayores"",""uid"":""ts-Y57cfb265585be""},{""locale"":""es"",""name"":""Patologías"",""principal"":false,""slug"":""ejercicio-fisico-en-patologias"",""uid"":""ts-o57cfb26558809""},{""locale"":""en"",""name"":""Health \u0026 Fitness"",""principal"":true,""slug"":""health-fitness"",""uid"":""ts-c57cfb26557cef""},{""locale"":""en"",""name"":""Physical Activity \u0026 Training in Older Adults"",""principal"":false,""slug"":""physical-activity-training-in-older-adults"",""uid"":""ts-Y57cfb265585be""},{""locale"":""en"",""name"":""Exercise \u0026 Diseases"",""principal"":false,""slug"":""exercise-diseases"",""uid"":""ts-o57cfb26558809""}]"
Webinar de Aspectos Relevantes del Rugby Moderno: De la Ciencia al Campo.  ¿Abismo o Bases Sólidas?,Webinar,"[{""locale"":""es"",""name"":""Rugby"",""principal"":true,""slug"":""entrenamiento-en-rugby"",""uid"":""ts-457cfb265530c3""},{""locale"":""en"",""name"":""Rugby Training"",""principal"":true,""slug"":""rugby-training"",""uid"":""ts-457cfb265530c3""}]"
Webinar del Osgood - Schlatter y su Relación con el Jugador de Baloncesto,Webinar,"[{""locale"":""es"",""name"":""Entrenamiento en Básquetbol"",""principal"":true,""slug"":""entrenamiento-en-basquetbol"",""uid"":""ts-H57cfb2655268a""},{""locale"":""en"",""name"":""Basketball Training"",""principal"":true,""slug"":""basketball-training"",""uid"":""ts-H57cfb2655268a""}]"
Taller de Elaboración de Sesiones en Atletismo,Taller,"[{""locale"":""es"",""name"":""Atletismo"",""principal"":true,""slug"":""entrenamiento-en-atletismo"",""uid"":""ts-B57cfb265546db""},{""locale"":""en"",""name"":""Athletics Training"",""principal"":true,""slug"":""athletics-training"",""uid"":""ts-B57cfb265546db""}]"
Webinars de Obesidad y Ejercicio,Webinar,"[{""locale"":""es"",""name"":""Nutrición"",""principal"":false,""slug"":""nutricion-deportiva"",""uid"":""ts-t57cfb26556fbf""},{""locale"":""es"",""name"":""Salud y Fitness"",""principal"":true,""slug"":""salud-y-fitness"",""uid"":""ts-c57cfb26557cef""},{""locale"":""en"",""name"":""Sport Nutrition"",""principal"":false,""slug"":""sport-nutrition"",""uid"":""ts-t57cfb26556fbf""},{""locale"":""en"",""name"":""Health \u0026 Fitness"",""principal"":true,""slug"":""health-fitness"",""uid"":""ts-c57cfb26557cef""}]"
Taller de Estrategias para la Recuperación en los Deportes de Resistencia,Taller,"[{""locale"":""es"",""name"":""Resistencia"",""principal"":true,""slug"":""entrenamiento-de-la-resistencia"",""uid"":""ts-Q57cfb2655182e""},{""locale"":""en"",""name"":""Endurance Training"",""principal"":true,""slug"":""endurance-training"",""uid"":""ts-Q57cfb2655182e""}]"
